AvatarPosition;Email;Framecount;HandPositionChange;HandRotation;HitDetected;HitPatternID;HitTotal;PatternID;SequenceID;SessionID;SpeedModifier;SteeringType;Timestamp;TotalHandPositionChange;TotalHandRotation
0,4286565;anonymous;368;0,0002508587;4,481339;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.9302;12,0449;-501,1301
0,4286565;anonymous;369;0,0002054106;4,465908;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.9451;12,0451;-496,6642
0,4286565;anonymous;370;0,0004346296;4,390513;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.9594;12,04554;-492,2737
0,4286565;anonymous;371;0,0007816429;4,016816;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:30.9753;12,04632;-488,2569
0,4286565;anonymous;372;0,0005983278;3,597685;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.0004;12,04692;-484,6592
0,4286565;anonymous;373;0,0001642952;3,753279;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.0143;12,04708;-480,9059
0,4286565;anonymous;374;0,0001597158;3,864788;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.0280;12,04724;-477,0412
0,4286565;anonymous;375;0,000277633;3,901345;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.0426;12,04752;-473,1398
0,4286565;anonymous;376;0,000534125;3,873168;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.0585;12,04805;-469,2667
0,4286565;anonymous;377;0,0009791041;3,666288;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.0840;12,04903;-465,6004
0,4286565;anonymous;378;0,0002834336;3,614095;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.0983;12,04932;-461,9863
0,4286565;anonymous;379;0,0002532034;3,636426;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.1128;12,04957;-458,3499
0,4286565;anonymous;380;0,0002520742;3,648053;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.1271;12,04982;-454,7018
0,4286565;anonymous;381;0,000384767;3,647574;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.1416;12,05021;-451,0542
0,4286565;anonymous;382;0,0006831061;3,414029;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.1681;12,05089;-447,6402
0,4286565;anonymous;383;0,0005201169;3,013611;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.1826;12,05141;-444,6266
0,4286565;anonymous;384;0,000386294;2,644491;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.1964;12,0518;-441,9821
0,4286565;anonymous;385;0,000324132;2,237099;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.2097;12,05212;-439,745
0,4286565;anonymous;386;0,0003778039;1,916943;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.2245;12,0525;-437,8281
0,2009882;anonymous;387;0,0007938316;1,808894;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.2512;12,05329;-436,0192
0,2029191;anonymous;388;0,0004378165;1,826272;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.2657;12,05373;-434,1929
0,2029191;anonymous;389;0,0002443558;1,856147;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.2811;12,05397;-432,3368
0,2029191;anonymous;390;0,0001273868;1,925469;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.2939;12,0541;-430,4113
0,2029191;anonymous;391;0,0002820262;1,935118;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.3083;12,05438;-428,4762
0,2029191;anonymous;392;0,000502064;1,830687;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.3356;12,05488;-426,6455
0,2029191;anonymous;393;0,0002249424;1,704936;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.3493;12,05511;-424,9406
0,2029191;anonymous;394;0,0002236218;1,56499;FALSE;NULL;0;0;5;db3daad1-aeac-44ae-aecd-49bdf802bb36;1;FlipMapCondition;2023-05-18 12:56:31.3640;12,05533;-423,3755
